Athena,Snowflake
post_evar3,pib_member_id
post_prop8,content_source
post_evar4,POST_EVAR4
post_pagename,post_pagename
post_prop3,alert_type
post_prop4,article_headline
post_prop20,article_id
post_prop1,content_type_hit
post_prop2,section_hit
post_prop4,article_headline_original_hit
post_prop8,content_source_hit
post_evar11,dj_product_last_visit
post_evar111,page_site_product_hit
post_prop24,edition_hit
post_page_event,post_page_event
exclude_hit,exclude_hit
hit_source,hit_source
post_visid_high,post_visid_high
post_visid_low,post_visid_low
post_mobileappid,MOBILE_APP_ID
post_prop26,SUBSECTION
post_prop29,PUBLISHER_NAME
post_page_event_var2,CUSTOM_LINK
post_evar138,DOCUMENT_DOWNLOAD_NAME
post_channel,CHANNEL
visit_num,visit_num
visit_start_time_gmt,visit_start_time_gmt
geo_country,geo_country
